,type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
702,white,6.6,0.38,0.18,1.2,0.042,20.0,84.0,0.9927,3.22,0.45,10.1,4
1021,white,8.6,0.2,0.42,1.5,0.040999999999999995,35.0,125.0,0.9925,3.11,0.49,11.4,7
4691,white,6.9,0.19,0.31,19.25,0.043,38.0,167.0,0.99954,2.93,0.52,9.1,7
1623,white,7.0,0.14,0.49,5.9,0.053,22.0,118.0,0.9954,3.36,0.36,9.4,6
5848,red,8.9,0.12,0.45,1.8,0.075,10.0,21.0,0.9955200000000001,3.41,0.76,11.9,7
696,white,6.7,0.19,0.34,1.0,0.022000000000000002,22.0,94.0,0.9912,3.23,0.57,11.1,6
1562,white,7.1,0.34,0.49,1.5,0.027000000000000003,26.0,126.0,0.99,3.3,0.33,12.2,7
1015,white,7.6,0.39,0.22,2.8,0.036000000000000004,19.0,113.0,0.9926,3.03,0.29,10.2,5
2515,white,7.1,0.12,0.3,3.1,0.018000000000000002,15.0,37.0,0.9900399999999999,3.02,0.52,11.9,7
4252,white,6.7,0.11,0.26,14.8,0.053,44.0,95.0,0.9967600000000001,3.2,0.35,9.8,6
3411,white,6.0,0.14,0.17,5.6,0.036000000000000004,37.0,127.0,0.9937299999999999,3.05,0.57,9.8,6
5262,red,12.8,0.615,0.66,5.8,0.083,7.0,42.0,1.0022,3.07,0.73,10.0,7
3151,white,6.2,0.23,0.36,17.2,0.039,37.0,130.0,0.99946,3.23,0.43,8.8,6
1117,white,8.1,0.45,0.34,8.3,0.037000000000000005,33.0,216.0,0.9976,3.31,0.64,9.7,5
5051,red,7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,5
4285,white,6.0,0.2,0.26,6.8,0.049,22.0,93.0,0.9928,3.15,0.42,11.0,6
6215,red,9.9,0.44,0.46,2.2,0.091,10.0,41.0,0.9963799999999999,3.18,0.69,11.9,6
5395,red,7.2,0.34,0.32,2.5,0.09,43.0,113.0,0.9966,3.32,0.79,11.1,5
2670,white,5.9,0.34,0.31,2.0,0.03,38.0,142.0,0.98892,3.4,0.41,12.9,7
4163,white,7.2,0.26,0.38,1.5,0.061,12.0,120.0,0.99192,3.18,0.46,10.4,5
4802,white,5.8,0.28,0.34,2.2,0.037000000000000005,24.0,125.0,0.9898600000000001,3.36,0.33,12.8,8
1959,white,8.5,0.17,0.31,1.0,0.024,13.0,91.0,0.993,2.79,0.37,10.1,5
4642,white,5.7,0.24,0.3,1.3,0.03,25.0,98.0,0.9896799999999999,3.37,0.43,12.4,7
2994,white,6.8,0.18,0.28,9.8,0.039,29.0,113.0,0.99406,3.11,0.45,10.9,7
4826,white,6.0,0.34,0.29,6.1,0.046,29.0,134.0,0.9946200000000001,3.48,0.57,10.7,6
3329,white,6.7,0.21,0.34,1.4,0.049,36.0,112.0,0.9909100000000001,3.02,0.5,11.0,6
5740,red,10.6,0.5,0.45,2.6,0.11900000000000001,34.0,68.0,0.99708,3.23,0.72,10.9,6
1475,white,7.2,0.08,0.49,1.3,0.05,18.0,148.0,0.9945,3.46,0.44,10.2,6
